Datetime,Kyushu,Transmission
2018-01-01 00:00:00,9161,1732
2018-01-01 01:00:00,9243,1666
2018-01-01 02:00:00,9406,1672
2018-01-01 03:00:00,9509,1722
2018-01-01 04:00:00,9429,1694
2018-01-01 05:00:00,9087,1656
2018-01-01 06:00:00,8780,1620
2018-01-01 07:00:00,8971,1570
2018-01-01 08:00:00,9239,1630
2018-01-01 09:00:00,9116,1448
2018-01-01 10:00:00,8674,1508
2018-01-01 11:00:00,8332,1502
2018-01-01 12:00:00,7859,1452
2018-01-01 13:00:00,7657,1244
2018-01-01 14:00:00,7404,1424
2018-01-01 15:00:00,7503,1634
2018-01-01 16:00:00,8119,1754
2018-01-01 17:00:00,9281,1992
2018-01-01 18:00:00,9870,1958
2018-01-01 19:00:00,9922,1962
2018-01-01 20:00:00,9952,1908
2018-01-01 21:00:00,9892,1922
2018-01-01 22:00:00,9593,1868
2018-01-01 23:00:00,9325,1816
2018-01-02 00:00:00,8859,1672
2018-01-02 01:00:00,8955,1652
2018-01-02 02:00:00,9275,1656
2018-01-02 03:00:00,9399,1666
2018-01-02 04:00:00,9378,1614
2018-01-02 05:00:00,9158,1546
2018-01-02 06:00:00,9169,1544
2018-01-02 07:00:00,9612,1594
2018-01-02 08:00:00,9860,1938
2018-01-02 09:00:00,9496,1996
2018-01-02 10:00:00,8953,1974
2018-01-02 11:00:00,8423,1898
2018-01-02 12:00:00,8032,1892
2018-01-02 13:00:00,7743,1826
2018-01-02 14:00:00,7474,1814
2018-01-02 15:00:00,7543,1816
2018-01-02 16:00:00,8247,1914
2018-01-02 17:00:00,9403,2044
2018-01-02 18:00:00,10104,2142
2018-01-02 19:00:00,10156,2078
2018-01-02 20:00:00,10127,2094
2018-01-02 21:00:00,9918,2064
2018-01-02 22:00:00,9599,2004
2018-01-02 23:00:00,9157,2012
2018-01-03 00:00:00,8697,1934
2018-01-03 01:00:00,8754,1914
2018-01-03 02:00:00,8998,1932
2018-01-03 03:00:00,9124,1926
2018-01-03 04:00:00,9059,1870
2018-01-03 05:00:00,8826,1800
2018-01-03 06:00:00,8716,1778
2018-01-03 07:00:00,9088,1844
2018-01-03 08:00:00,9408,1918
2018-01-03 09:00:00,9212,2022
2018-01-03 10:00:00,8869,1990
2018-01-03 11:00:00,8602,1872
2018-01-03 12:00:00,8267,1768
2018-01-03 13:00:00,7951,1580
2018-01-03 14:00:00,7749,1624
2018-01-03 15:00:00,7971,1770
2018-01-03 16:00:00,8604,1852
2018-01-03 17:00:00,9877,2012
2018-01-03 18:00:00,10557,1970
2018-01-03 19:00:00,10607,1986
2018-01-03 20:00:00,10565,2032
2018-01-03 21:00:00,10331,2068
2018-01-03 22:00:00,9864,2022
2018-01-03 23:00:00,9375,2002
2018-01-04 00:00:00,8905,1968
2018-01-04 01:00:00,9018,1956
2018-01-04 02:00:00,9325,1988
2018-01-04 03:00:00,9439,1958
2018-01-04 04:00:00,9402,1908
2018-01-04 05:00:00,9356,1810
2018-01-04 06:00:00,9830,1796
2018-01-04 07:00:00,10733,1812
2018-01-04 08:00:00,11264,1882
2018-01-04 09:00:00,11382,2160
2018-01-04 10:00:00,10999,2150
2018-01-04 11:00:00,10638,1922
2018-01-04 12:00:00,10234,1964
2018-01-04 13:00:00,10052,2082
2018-01-04 14:00:00,10016,1970
2018-01-04 15:00:00,10168,2042
2018-01-04 16:00:00,10660,2200
2018-01-04 17:00:00,11523,2220
2018-01-04 18:00:00,11893,2110
2018-01-04 19:00:00,11775,2004
2018-01-04 20:00:00,11416,2150
2018-01-04 21:00:00,10900,2192
2018-01-04 22:00:00,10200,2204
2018-01-04 23:00:00,9500,2164
2018-01-05 00:00:00,8905,2028
2018-01-05 01:00:00,8991,2020
2018-01-05 02:00:00,9398,2034
2018-01-05 03:00:00,9677,2038
2018-01-05 04:00:00,9943,2008
2018-01-05 05:00:00,10039,2010
2018-01-05 06:00:00,10587,1988
2018-01-05 07:00:00,11451,1766
2018-01-05 08:00:00,12270,1480
2018-01-05 09:00:00,12774,1444
2018-01-05 10:00:00,12669,1424
2018-01-05 11:00:00,12484,1898
2018-01-05 12:00:00,11705,2044
2018-01-05 13:00:00,11761,2066
2018-01-05 14:00:00,11671,2074
2018-01-05 15:00:00,11664,2106
2018-01-05 16:00:00,11950,2048
2018-01-05 17:00:00,12399,1724
