,2014,1991,2016,2018,2013,2012
2018-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-01 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-01 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-01 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-01 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-01 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-01 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-01 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-01 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-01 09:00:00,0.110782,0.070526,0.313215,0.071318,0.057586,0.03047
2018-01-01 10:00:00,0.230148,0.186873,0.499281,0.171385,0.164323,0.07712
2018-01-01 11:00:00,0.347513,0.351992,0.653497,0.308538,0.257447,0.107546
2018-01-01 12:00:00,0.382297,0.374455,0.733578,0.4117,0.311251,0.120636
2018-01-01 13:00:00,0.3759,0.366027,0.731055,0.503221,0.32225,0.11174
2018-01-01 14:00:00,0.367669,0.288308,0.684083,0.52108,0.257721,0.110348
2018-01-01 15:00:00,0.364955,0.257733,0.553709,0.489094,0.201795,0.091354
2018-01-01 16:00:00,0.300294,0.165819,0.38821,0.342748,0.095965,0.063977
2018-01-01 17:00:00,0.196755,0.081719,0.2293,0.194912,0.03966,0.021894
2018-01-01 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-01 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-01 20:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-01 21:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-01 22:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-01 23:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-02 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-02 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-02 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-02 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-02 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-02 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-02 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-02 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-02 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-02 09:00:00,0.207646,0.108156,0.059966,0.33864,0.131251,0.117573
2018-01-02 10:00:00,0.371062,0.246946,0.118262,0.538518,0.214306,0.267574
2018-01-02 11:00:00,0.533748,0.422154,0.209624,0.703334,0.243954,0.367809
2018-01-02 12:00:00,0.644378,0.540464,0.235134,0.787459,0.25213,0.442619
2018-01-02 13:00:00,0.682983,0.581682,0.207293,0.802441,0.229319,0.437747
2018-01-02 14:00:00,0.652811,0.541775,0.128464,0.755142,0.190603,0.414941
2018-01-02 15:00:00,0.551617,0.467585,0.069155,0.636652,0.143612,0.341536
2018-01-02 16:00:00,0.377755,0.350014,0.032766,0.443728,0.089479,0.225887
2018-01-02 17:00:00,0.221859,0.26229,0.003532,0.273825,0.044527,0.130173
2018-01-02 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0
2018-01-02 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0
