,2014,1991,2016,2018,2013,2012
2018-01-01 00:00:00,9636,8550,8951,9717,10101,10321
2018-01-01 01:00:00,9598,8502,8906,9677,10053,10281
2018-01-01 02:00:00,10102,9137,9503,10221,10699,10823
2018-01-01 03:00:00,10554,9705,10037,10708,11277,11309
2018-01-01 04:00:00,10662,9841,10166,10826,11417,11426
2018-01-01 05:00:00,10834,10057,10368,11011,11636,11611
2018-01-01 06:00:00,11401,10771,11040,11623,12364,12221
2018-01-01 07:00:00,12042,11578,11799,12316,13186,12911
2018-01-01 08:00:00,12347,11961,12160,12645,13577,13239
2018-01-01 09:00:00,12322,11930,12130,12618,13545,13213
2018-01-01 10:00:00,12069,11612,11831,12345,13220,12940
2018-01-01 11:00:00,11653,11088,11338,11896,12687,12493
2018-01-01 12:00:00,11332,10684,10958,11549,12275,12147
2018-01-01 13:00:00,11266,10601,10880,11477,12190,12076
2018-01-01 14:00:00,11243,10572,10853,11453,12161,12051
2018-01-01 15:00:00,11229,10554,10836,11437,12143,12036
2018-01-01 16:00:00,11590,11008,11263,11827,12606,12424
2018-01-01 17:00:00,12319,11926,12127,12615,13541,13210
2018-01-01 18:00:00,12788,12515,12681,13120,14141,13714
2018-01-01 19:00:00,12631,12319,12496,12952,13941,13545
2018-01-01 20:00:00,12163,11729,11941,12446,13340,13041
2018-01-01 21:00:00,11687,11130,11378,11932,12730,12529
2018-01-01 22:00:00,11089,10378,10670,11286,11963,11885
2018-01-01 23:00:00,10287,9369,9721,10420,10935,11022
2018-01-02 00:00:00,8589,7831,9619,10608,10527,10522
2018-01-02 01:00:00,8551,7794,9579,10586,10495,10493
2018-01-02 02:00:00,9066,8286,10109,10889,10928,10885
2018-01-02 03:00:00,9526,8726,10584,11160,11316,11236
2018-01-02 04:00:00,9637,8832,10698,11225,11410,11321
2018-01-02 05:00:00,9812,8999,10878,11328,11557,11454
2018-01-02 06:00:00,10391,9553,11475,11669,12045,11895
2018-01-02 07:00:00,11046,10178,12149,12055,12596,12394
2018-01-02 08:00:00,11357,10475,12469,12238,12858,12631
2018-01-02 09:00:00,11332,10451,12443,12223,12837,12612
2018-01-02 10:00:00,11073,10204,12177,12071,12619,12415
2018-01-02 11:00:00,10649,9798,11740,11821,12261,12091
2018-01-02 12:00:00,10321,9485,11402,11628,11985,11842
2018-01-02 13:00:00,10253,9421,11332,11588,11928,11790
2018-01-02 14:00:00,10230,9399,11309,11575,11909,11772
2018-01-02 15:00:00,10216,9385,11294,11566,11896,11761
2018-01-02 16:00:00,10584,9737,11673,11783,12207,12042
2018-01-02 17:00:00,11328,10448,12440,12221,12834,12610
2018-01-02 18:00:00,11806,10905,12932,12503,13237,12974
2018-01-02 19:00:00,11647,10752,12768,12409,13102,12852
2018-01-02 20:00:00,11169,10295,12275,12127,12699,12488
2018-01-02 21:00:00,10683,9831,11775,11841,12290,12117
2018-01-02 22:00:00,10073,9248,11146,11482,11776,11652
2018-01-02 23:00:00,9254,8466,10303,11000,11086,11028
2018-01-03 00:00:00,8438,8836,10064,9541,9120,10107
2018-01-03 01:00:00,8397,8794,10035,9505,9078,10077
2018-01-03 02:00:00,8942,9351,10431,9982,9640,10483
2018-01-03 03:00:00,9431,9850,10785,10410,10143,10847
2018-01-03 04:00:00,9549,9970,10870,10512,10264,10935
2018-01-03 05:00:00,9734,10159,11005,10675,10455,11072
2018-01-03 06:00:00,10348,10786,11450,11211,11087,11530
2018-01-03 07:00:00,11042,11494,11953,11818,11801,12046
2018-01-03 08:00:00,11371,11831,12193,12107,12141,12292
2018-01-03 09:00:00,11344,11803,12173,12083,12113,12272
2018-01-03 10:00:00,11071,11524,11974,11844,11831,12068
2018-01-03 11:00:00,10621,11064,11648,11450,11368,11733
2018-01-03 12:00:00,10273,10710,11396,11146,11010,11474
2018-01-03 13:00:00,10201,10636,11344,11083,10936,11421
2018-01-03 14:00:00,10177,10611,11326,11062,10911,11402
2018-01-03 15:00:00,10161,10596,11315,11049,10895,11391
2018-01-03 16:00:00,10552,10994,11598,11390,11297,11682
2018-01-03 17:00:00,11341,11800,12171,12080,12110,12269
2018-01-03 18:00:00,11848,12317,12538,12523,12632,12647
2018-01-03 19:00:00,11679,12145,12416,12376,12458,12521
2018-01-03 20:00:00,11172,11627,12048,11932,11935,12143
2018-01-03 21:00:00,10657,11101,11674,11482,11405,11760
2018-01-03 22:00:00,10010,10441,11205,10916,10739,11278
2018-01-03 23:00:00,9142,9555,10575,10157,9845,10632
2018-01-04 00:00:00,9061,9646,9329,9620,10196,9779
2018-01-04 01:00:00,9031,9600,9282,9579,10149,9750
2018-01-04 02:00:00,9433,10219,9908,10136,10783,10151
2018-01-04 03:00:00,9793,10773,10468,10635,11351,10510
2018-01-04 04:00:00,9880,10906,10603,10756,11488,10596
2018-01-04 05:00:00,10017,11117,10816,10945,11704,10732
2018-01-04 06:00:00,10470,11813,11520,11572,12418,11184
2018-01-04 07:00:00,10981,12600,12316,12281,13225,11694
2018-01-04 08:00:00,11225,12974,12695,12618,13608,11936
2018-01-04 09:00:00,11205,12944,12664,12591,13577,11916
2018-01-04 10:00:00,11003,12633,12350,12311,13259,11715
2018-01-04 11:00:00,10671,12123,11833,11851,12735,11384
2018-01-04 12:00:00,10415,11728,11435,11496,12331,11129
2018-01-04 13:00:00,10362,11647,11352,11423,12247,11076
2018-01-04 14:00:00,10344,11619,11324,11398,12219,11058
2018-01-04 15:00:00,10332,11602,11307,11382,12201,11047
2018-01-04 16:00:00,10620,12045,11755,11781,12655,11334
2018-01-04 17:00:00,11203,12940,12660,12587,13573,11914
2018-01-04 18:00:00,11576,13515,13242,13105,14163,12286
2018-01-04 19:00:00,11452,13323,13048,12933,13966,12162
2018-01-04 20:00:00,11077,12748,12466,12414,13376,11789
2018-01-04 21:00:00,10698,12164,11875,11888,12777,11411
2018-01-04 22:00:00,10220,11430,11133,11227,12025,10935
2018-01-04 23:00:00,9580,10445,10137,10340,11015,10297
2018-01-05 00:00:00,9420,9628,9928,9280,10487,9445
2018-01-05 01:00:00,9388,9582,9900,9229,10445,9408
2018-01-05 02:00:00,9823,10204,10276,9926,11003,9908
2018-01-05 03:00:00,10213,10761,10613,10551,11503,10356
